APPLE INC	2014/04/23	2014/04/26	ASIAN BUSINESS NEWS	HTC Design Chief to Step Down	null	April 26, 2014 2:32 am ET	HTC's design chief will step down, as the Taiwanese smartphone maker's market share shrinks and its reorganization continues.
APPLE INC	2014/04/23	2014/04/26	TECH	U.S. Appeals Court Issues Mixed Ruling Reviving Apple Patent Claims Against Motorola Mobility	null	April 25, 2014 7:13 pm ET	A federal appeals court revived some Apple patent infringement claims against Motorola Mobility, but the ruling could deal a blow to a separate case the iPhone maker is pressing against Samsung Electronics.
APPLE INC	2014/04/23	2014/04/26	TECH	Netflix Reaches Set-Top Box Deal	null	April 25, 2014 10:28 am ET	Netflix has reached a deal with Atlantic Broadband, a small cable operator, to integrate its streaming service as an app through TiVo set top boxes provided by the cable operator.
APPLE INC	2014/04/23	2014/04/26	BUSINESS	Publicis, Omnicom Deal Caught in European Tax Web	null	April 25, 2014 9:19 am ET	The planned advertising megamerger of Publicis and Omnicom is being complicated by a push by European governments to grab tax revenue.
APPLE INC	2014/04/23	2014/04/26	TECH	Foxconn Sells Communications Technology Patents to Google	null	April 25, 2014 5:50 am ET	Foxconn, which assembles gadgets for companies such as Apple Inc., said it has sold a number of its communications technology patents to Google Inc. for an undisclosed sum.
APPLE INC	2014/04/23	2014/04/26	TECH	Tech Companies Agree to Settle Wage Suit	null	April 24, 2014 6:58 pm ET	Apple, Google, Intel and Adobe Systems agreed to settle a lawsuit in which 64,000 employees accused them of conspiring not to recruit each other's workers, depressing wages. A person close to the defendants said the settlement price was around $325 million.
APPLE INC	2014/04/23	2014/04/26	ASIA MARKETS	Asian Morning Briefing: Dow Ends Flat; Tech Shares Gain	null	April 24, 2014 5:34 pm ET	Asian Morning Briefing
APPLE INC	2014/04/23	2014/04/26	U.S. MARKETS	S&P 500, Nasdaq Rise; Dow Ends Flat	null	April 24, 2014 4:47 pm ET	Chip maker said its first-quarter profit fell 14% as the chip maker's revenue and product margin slipped. The company projected revenue of about $2 billion to $2.1 billion for the current quarter.
APPLE INC	2014/04/23	2014/04/26	EARNINGS	Broadcom Profit Falls 14%	null	April 24, 2014 4:36 pm ET	The Internet-radio provider reported a sharp jump in advertising and subscription revenue that outpaced content costs
APPLE INC	2014/04/23	2014/04/26	EARNINGS	Pandora 1st-Quarter Loss Narrows on Revenue Jump	null	April 24, 2014 4:31 pm ET	A year after it pulled off a then-corporate record $17 billion bond sale, Apple's plans to raise a "similar" sum this year highlight strong investor demand for debt issued by highly rated companies.
APPLE INC	2014/04/23	2014/04/26	MARKETS	Apple Plans Another Large Debt Sale	null	April 24, 2014 2:57 pm ET	Best-selling books for the week ended April 12, with data from Nielsen BookScan.
APPLE INC	2014/04/23	2014/04/26	BOOKS	Best-Selling Books Week Ended April 19	null	April 24, 2014 11:49 am ET	German sportswear company Adidas is diversifying suppliers in China to decrease the effect of a factory labor dispute on the availability of sneakers it sells.
APPLE INC	2014/04/23	2014/04/26	BUSINESS	Adidas Is Diversifying China Shoe Suppliers	null	April 24, 2014 9:12 am ET	Regulators are proposing rules on Internet traffic that would let broadband providers charge companies a premium for access to their fastest lanes.
APPLE INC	2014/04/23	2014/04/26	TECH	FCC to Propose New 'Net Neutrality' Rules	null	April 23, 2014 9:14 pm ET	Apple, in a nod to restive shareholders, added $30 billion to its stock-buyback plan, raised its dividend about 8% and declared a 7-for-1 stock split.
APPLE INC	2014/04/23	2014/04/26	TECH	Apple Boosts Buyback, Splits Stock to Reward Investors	null	April 23, 2014 7:45 pm ET	Computer chip designer ARM Holdings reported a rise in first-quarter profit boosted by demand for its technology for a growing range of products including so-called supercomputers and sensors.
APPLE INC	2014/04/23	2014/04/26	EUROPE TECHNOLOGY	ARM Holdings Posts Higher First-Quarter Profit	null	April 23, 2014 12:31 pm ET	Best-selling books for the week ended April 12, with data from Nielsen BookScan
APPLE INC	2014/04/23	2014/04/26	BEST SELLING BOOKS	Best-Selling Books Week Ended April 12	null	April 23, 2014 10:23 am ET	HBO agreed to license older episodes of its programming library to Amazon's Prime Instant Video streaming service, the first time it has struck such a deal.
APPLE INC	2014/04/23	2014/04/26	TECH	HBO to Allow Amazon to Stream Older Shows	null	April 23, 2014 10:19 am ET	Stocks in Hong Kong fell on signs of further contraction in China's manufacturing sector, while a rally on Wall Street bolstered Japan in a quiet, holiday-shortened week for regional markets.
APPLE INC	2014/04/23	2014/04/26	ASIA MARKETS
Asian Shares End Mixed
By Daniel Inman, Mia Lamar April 23, 2014 4:47 am ET
Stocks in Hong Kong fell on signs of further contraction in China's manufacturing sector, while a rally on Wall Street bolstered Japan in a quiet, holiday-shortened week for regional markets.
APPLE INC	2014/10/20	2014/10/23	TECH	Apple Plans More Stores in China	null	Oct. 23, 2014 10:40 pm ET	Apple plans to increase the number of its Apple-brand retail stores in Greater China to 40 from 15 within two years, CEO Tim Cook told local media.
APPLE INC	2014/10/20	2014/10/23	BUSINESS	Corporate Watch	null	Oct. 23, 2014 10:14 pm ET	Unilever PLC on Thursday warned of a tough global outlook and struck a gloomy tone after reporting its slowest quarterly sales growth in five years, raising fears of a continued economic slowdown across emerging markets.
APPLE INC	2014/10/20	2014/10/23	TECH	Microsoft Bucks Trend as Sales Defy Expectations	null	Oct. 23, 2014 8:53 pm ET	Microsoft’s sales continue to defy expectations by growing at a much faster clip than those of its business-technology peers.
APPLE INC	2014/10/20	2014/10/23	TECH	Apple’s Ex-Retail Chief Leads Startup	null	Oct. 23, 2014 7:18 pm ET	Ron Johnson, who helped build Apple’s successful retail stores before a troubled stint as J.C. Penney CEO, is readying a well-funded startup that aims to help online shoppers find the right products.
APPLE INC	2014/10/20	2014/10/23	TECH	Apple, GT Advanced Technologies in Agreement on Sapphire Materials	null	Oct. 23, 2014 5:58 pm ET	GT Advanced and Apple reached an agreement on winding down production of sapphire materials.
APPLE INC	2014/10/20	2014/10/23	EARNINGS	Pandora Media Loss Narrows; Listener Hours Up 25%	null	Oct. 23, 2014 4:42 pm ET	Pandora Media reported a 25% increase in the number of hours listeners tuned in during the third quarter, the first year-to-year comparison since the Internet radio giant ended its 40-hour free-listening monthly cap.
APPLE INC	2014/10/20	2014/10/23	EARNINGS	Logitech Says Tablet Slowdown Won’t Derail Its Turnaround	null	Oct. 23, 2014 12:18 pm ET	Logitech said its turnaround won’t be derailed by a slowdown in the tablet computer market, as its second-quarter net profit more than doubled.
APPLE INC	2014/10/20	2014/10/23	TECH	Foxconn in Talks for China Display Plant	null	Oct. 23, 2014 8:35 am ET	Foxconn, the company that assembles the bulk of the world’s iPhones, is in preliminary talks to build a factory in northern China that would make high-end screens for the phones as well, in a sign of the company’s ambition to move up the electronics food chain.
APPLE INC	2014/10/20	2014/10/23	TECH	Nokia Gives Bullish Outlook as It Swings Back to Profit	null	Oct. 23, 2014 6:24 am ET	Nokia’s quarterly earnings gave ample evidence that the company’s main network unit has moved well beyond several years of painful restructuring.
APPLE INC	2014/10/20	2014/10/23	TECH	Why You Can’t Trust You’re Getting the Best Deal Online	null	Oct. 23, 2014 12:01 am ET	A new study of top e-commerce sites found the practice of personalizing prices for the same goods, or pushing some people toward higher-priced offers, is more widespread than previously understood.
APPLE INC	2014/10/20	2014/10/23	AHEAD OF THE TAPE	Time for Amazon to Turn the Page	null	Oct. 22, 2014 8:41 pm ET	Ahead of the Tape: Amazon’s share price has recovered from its tumble after the Fire phone’s flop, but recent weakness suggests investors are running out of patience.
